nombreCurso,grupo,profesor,nota,periodo,nombreEstudiante,correoEstudiante
Innovacion y Emprendimiento,2,Richard Dressel,2.9,2021-3,Raymond Bosomworth,rbosomworthft@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,2.9,2021-3,Caesar Mattek,cmattekfu@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,2.9,2021-3,Glenn Checchetelli,gchecchetellifv@edu.com
Comunicación Oral y Escrita,3,Jerrome Chafer,3.0,2023-3,Claudio Langthorn,clangthornfw@edu.com
Comunicación Oral y Escrita,3,Jerrome Chafer,3.0,2023-3,Consalve Simeoli,csimeolifx@edu.com
Comunicación Oral y Escrita,3,Jerrome Chafer,3.0,2023-3,Peg Schimann,pschimannfy@edu.com
Comunicación Oral y Escrita,3,Jerrome Chafer,3.0,2023-3,Collin Cussins,ccussinsfz@edu.com
Logica y Matematica Discreta,2,Langsdon Oakman,0.3,2023-1,Lindi Fierro,lfierrog0@edu.com
Logica y Matematica Discreta,2,Langsdon Oakman,0.3,2023-1,Leopold Joseff,ljoseffg1@edu.com
Logica y Matematica Discreta,2,Langsdon Oakman,0.3,2023-1,Peggy Nacci,pnaccig2@edu.com
Logica y Matematica Discreta,2,Langsdon Oakman,0.3,2023-1,Jocelyne McEntagart,jmcentagartg3@edu.com
Logica y Matematica Discreta,1,Alethea Adcocks,1.6,2022-1,Aubine Baty,abatyg4@edu.com
Logica y Matematica Discreta,1,Alethea Adcocks,1.6,2022-1,Wallie Barry,wbarryg5@edu.com
Logica y Matematica Discreta,1,Alethea Adcocks,1.6,2022-1,Helen-elizabeth Greatbach,hgreatbachg6@edu.com
Logica y Matematica Discreta,1,Alethea Adcocks,1.6,2022-1,Addie Wivell,awivellg7@edu.com
Administracion para Ingenieros,3,Fulvia Gravells,1.3,2022-3,Carter Coldtart,ccoldtartg8@edu.com
Administracion para Ingenieros,3,Fulvia Gravells,1.3,2022-3,Ham Reyner,hreynerg9@edu.com
Administracion para Ingenieros,3,Fulvia Gravells,1.3,2022-3,Thomasina Stoves,tstovesga@edu.com
Administracion para Ingenieros,3,Fulvia Gravells,1.3,2022-3,Hatti Gurwood,hgurwoodgb@edu.com
Matematicas Fundamentales,3,Sigmund Lowndsbrough,3.9,2021-3,Emmett Sawney,esawneygc@edu.com
Matematicas Fundamentales,3,Sigmund Lowndsbrough,3.9,2021-3,Augustine Waters,awatersgd@edu.com
Matematicas Fundamentales,3,Sigmund Lowndsbrough,3.9,2021-3,Halimeda Murrish,hmurrishge@edu.com
Matematicas Fundamentales,3,Sigmund Lowndsbrough,3.9,2021-3,Marleen Castagnasso,mcastagnassogf@edu.com
Redes e Infraestructura,1,Odessa Scotchbourouge,3.2,2023-3,Alysia Butfield,abutfieldgg@edu.com
Redes e Infraestructura,1,Odessa Scotchbourouge,3.2,2023-3,Noe Vakhrushev,nvakhrushevgh@edu.com
Redes e Infraestructura,1,Odessa Scotchbourouge,3.2,2023-3,Inez Durbyn,idurbyngi@edu.com
Redes e Infraestructura,1,Odessa Scotchbourouge,3.2,2023-3,Corissa Esler,ceslergj@edu.com
Electiva profesional 4,3,Barbra Cary,2.8,2022-1,Candra Lamlin,clamlingk@edu.com
Electiva profesional 4,3,Barbra Cary,2.8,2022-1,Tootsie Fiddiman,tfiddimangl@edu.com
Electiva profesional 4,3,Barbra Cary,2.8,2022-1,Loy Pol,lpolgm@edu.com
Electiva profesional 4,3,Barbra Cary,2.8,2022-1,Vanessa Closs,vclossgn@edu.com
Transformacion y Carga),3,Elaina Baumler,4.4,2022-1,Henderson Levesque,hlevesquego@edu.com
Transformacion y Carga),3,Elaina Baumler,4.4,2022-1,Burg Mintrim,bmintrimgp@edu.com
Transformacion y Carga),3,Elaina Baumler,4.4,2022-1,Ardra Eplate,aeplategq@edu.com
Transformacion y Carga),3,Elaina Baumler,4.4,2022-1,Bonita Flowitt,bflowittgr@edu.com
Seguridad de la Informacion,2,Dannie Follitt,3.0,2021-1,Lyndy McEwen,lmcewengs@edu.com
Seguridad de la Informacion,2,Dannie Follitt,3.0,2021-1,Yorgos Roch,yrochgt@edu.com
Seguridad de la Informacion,2,Dannie Follitt,3.0,2021-1,Sheree Clapperton,sclappertongu@edu.com
Seguridad de la Informacion,2,Dannie Follitt,3.0,2021-1,Meggie Maltby,mmaltbygv@edu.com
Ingles 5,3,Christa Buck,4.6,2021-1,Vivi Sandison,vsandisongw@edu.com
Ingles 5,3,Christa Buck,4.6,2021-1,Basilio Reape,breapegx@edu.com
Ingles 5,3,Christa Buck,4.6,2021-1,Beaufort Hallstone,bhallstonegy@edu.com
Ingles 5,3,Christa Buck,4.6,2021-1,Godfrey Pengilley,gpengilleygz@edu.com
Almacenamiento de datos,3,Carita Grandin,4.9,2023-1,Bertie Gors,bgorsh0@edu.com
Almacenamiento de datos,3,Carita Grandin,4.9,2023-1,Jud Haydock,jhaydockh1@edu.com
Almacenamiento de datos,3,Carita Grandin,4.9,2023-1,Lind Mudge,lmudgeh2@edu.com
Almacenamiento de datos,3,Carita Grandin,4.9,2023-1,Noe Nickolls,nnickollsh3@edu.com
Estadistica y Probabilidad I,3,Osbert Baird,4.2,2023-3,Fletch Otter,fotterh4@edu.com
Estadistica y Probabilidad I,3,Osbert Baird,4.2,2023-3,Jamil Hutton,jhuttonh5@edu.com
Estadistica y Probabilidad I,3,Osbert Baird,4.2,2023-3,Ignazio Carlill,icarlillh6@edu.com
Estadistica y Probabilidad I,3,Osbert Baird,4.2,2023-3,Constantia Minelli,cminellih7@edu.com
Inteligencia Artificial,1,Simeon Creser,0.1,2023-1,Inger Vasyagin,ivasyaginh8@edu.com
Inteligencia Artificial,1,Simeon Creser,0.1,2023-1,Donielle Graeme,dgraemeh9@edu.com
Inteligencia Artificial,1,Simeon Creser,0.1,2023-1,Faustina Swanton,fswantonha@edu.com
Inteligencia Artificial,1,Simeon Creser,0.1,2023-1,Vaughn McLucas,vmclucashb@edu.com
Electiva de  Ciencias Sociales,2,Illa McGunley,1.2,2023-3,Opal Phoebe,ophoebehc@edu.com
Electiva de  Ciencias Sociales,2,Illa McGunley,1.2,2023-3,Farah Mattacks,fmattackshd@edu.com
Electiva de  Ciencias Sociales,2,Illa McGunley,1.2,2023-3,Rikki Goodwin,rgoodwinhe@edu.com
Electiva de  Ciencias Sociales,2,Illa McGunley,1.2,2023-3,Sal Houldin,shouldinhf@edu.com
Innovacion y Emprendimiento,1,Florance Simoens,3.1,2022-3,Llywellyn Seide,lseidehg@edu.com
Innovacion y Emprendimiento,1,Florance Simoens,3.1,2022-3,Ermin Walkingshaw,ewalkingshawhh@edu.com
Innovacion y Emprendimiento,1,Florance Simoens,3.1,2022-3,Norah Ferrarotti,nferrarottihi@edu.com
Innovacion y Emprendimiento,1,Florance Simoens,3.1,2022-3,Libbie Weatherdon,lweatherdonhj@edu.com
Electiva Profesional 5,3,Glenn Pawlicki,1.4,2023-3,Glynda Lanney,glanneyhk@edu.com
Electiva Profesional 5,3,Glenn Pawlicki,1.4,2023-3,Branden Slocum,bslocumhl@edu.com
Electiva Profesional 5,3,Glenn Pawlicki,1.4,2023-3,Aidan Luparto,alupartohm@edu.com
Electiva Profesional 5,3,Glenn Pawlicki,1.4,2023-3,Bogey Christophe,bchristophehn@edu.com
Ingenieria y Sostenibilidad,3,Florina Sandlin,2.6,2023-1,Smitty Eastham,seasthamho@edu.com
Ingenieria y Sostenibilidad,3,Florina Sandlin,2.6,2023-1,Fergus Shillaber,fshillaberhp@edu.com
Ingenieria y Sostenibilidad,3,Florina Sandlin,2.6,2023-1,Winnah Yakuntzov,wyakuntzovhq@edu.com
Ingenieria y Sostenibilidad,3,Florina Sandlin,2.6,2023-1,Bert Hastelow,bhastelowhr@edu.com
Programacion,3,Kissee Giovani,0.7,2022-3,Meg Drakeley,mdrakeleyhs@edu.com
Programacion,3,Kissee Giovani,0.7,2022-3,Titus Tiplady,ttipladyht@edu.com
Programacion,3,Kissee Giovani,0.7,2022-3,Brice Leatherland,bleatherlandhu@edu.com
Programacion,3,Kissee Giovani,0.7,2022-3,Bordy Jindra,bjindrahv@edu.com
Algebra lineal,1,Hynda Van Velde,1.1,2023-3,Sarene Pether,spetherhw@edu.com
Algebra lineal,1,Hynda Van Velde,1.1,2023-3,Terencio Tigner,ttignerhx@edu.com
Algebra lineal,1,Hynda Van Velde,1.1,2023-3,Cesya Byles,cbyleshy@edu.com
Algebra lineal,1,Hynda Van Velde,1.1,2023-3,Case Frantzen,cfrantzenhz@edu.com
Administracion para Ingenieros,2,Reynold Wolstencroft,1.1,2021-3,Daveen Degue,ddeguei0@edu.com
Administracion para Ingenieros,2,Reynold Wolstencroft,1.1,2021-3,Sheri McCroft,smccrofti1@edu.com
Administracion para Ingenieros,2,Reynold Wolstencroft,1.1,2021-3,Merrili Tolumello,mtolumelloi2@edu.com
Administracion para Ingenieros,2,Reynold Wolstencroft,1.1,2021-3,Alethea Bensusan,abensusani3@edu.com
Electiva de Lectura y Escritura,2,Lenka Do Rosario,1.8,2022-1,Drucie Urling,durlingi4@edu.com
Electiva de Lectura y Escritura,2,Lenka Do Rosario,1.8,2022-1,Dela MacNair,dmacnairi5@edu.com
Electiva de Lectura y Escritura,2,Lenka Do Rosario,1.8,2022-1,Jacquenette Hobgen,jhobgeni6@edu.com
Electiva de Lectura y Escritura,2,Lenka Do Rosario,1.8,2022-1,Maje Click,mclicki7@edu.com
Seguridad de la Informacion,3,Fayette Laville,4.7,2022-3,Adeline Brownsmith,abrownsmithi8@edu.com
Seguridad de la Informacion,3,Fayette Laville,4.7,2022-3,Starlene Parman,sparmani9@edu.com
Seguridad de la Informacion,3,Fayette Laville,4.7,2022-3,Patten Tunesi,ptunesiia@edu.com
Seguridad de la Informacion,3,Fayette Laville,4.7,2022-3,Vita Gamlen,vgamlenib@edu.com
Redes e Infraestructura,3,Fulvia Gravells,4.9,2021-3,Dolly de Tocqueville,ddeic@edu.com
Redes e Infraestructura,3,Fulvia Gravells,4.9,2021-3,Kinsley Southern,ksouthernid@edu.com
Redes e Infraestructura,3,Fulvia Gravells,4.9,2021-3,Addy Sowrey,asowreyie@edu.com
Redes e Infraestructura,3,Fulvia Gravells,4.9,2021-3,Sari Biset,sbisetif@edu.com
Redes e Infraestructura,1,Odessa Scotchbourouge,3.9,2021-1,Ardenia Shafier,ashafierig@edu.com
Redes e Infraestructura,1,Odessa Scotchbourouge,3.9,2021-1,Janessa Blewitt,jblewittih@edu.com
Redes e Infraestructura,1,Odessa Scotchbourouge,3.9,2021-1,Penelopa Simek,psimekii@edu.com
Redes e Infraestructura,1,Odessa Scotchbourouge,3.9,2021-1,Glen Cud,gcudij@edu.com
Estadistica y Probabilidad II,2,Gib Peachman,3.3,2022-1,Rahel Pfaffe,rpfaffeik@edu.com
Estadistica y Probabilidad II,2,Gib Peachman,3.3,2022-1,Kirstin Strathearn,kstrathearnil@edu.com
Estadistica y Probabilidad II,2,Gib Peachman,3.3,2022-1,Vanny Dumbleton,vdumbletonim@edu.com
Estadistica y Probabilidad II,2,Gib Peachman,3.3,2022-1,Peg Kilmister,pkilmisterin@edu.com
Ingles 1,3,Johan Learmond,3.5,2023-1,Aldo Radoux,aradouxio@edu.com
Ingles 1,3,Johan Learmond,3.5,2023-1,Dela Footitt,dfootittip@edu.com
Ingles 1,3,Johan Learmond,3.5,2023-1,Veradis Gonzalo,vgonzaloiq@edu.com
Ingles 1,3,Johan Learmond,3.5,2023-1,Alonso Chelsom,achelsomir@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,0.4,2021-1,Julian Dorracott,jdorracottis@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,0.4,2021-1,Matelda Ormond,mormondit@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,0.4,2021-1,Jewel Beattie,jbeattieiu@edu.com
Innovacion y Emprendimiento,2,Richard Dressel,0.4,2021-1,Kevina Milbourn,kmilbourniv@edu.com
Ingles 5,2,Neel Irlam,1.4,2023-3,Jodee MacPeice,jmacpeiceiw@edu.com
Ingles 5,2,Neel Irlam,1.4,2023-3,Florenza Jost,fjostix@edu.com
Ingles 5,2,Neel Irlam,1.4,2023-3,Elisha Dilrew,edilrewiy@edu.com
Ingles 5,2,Neel Irlam,1.4,2023-3,Steffane Ransome,sransomeiz@edu.com
Ingles 2,2,Fulvia Gravells,2.2,2021-1,Neile Mingauld,nmingauldj0@edu.com
Ingles 2,2,Fulvia Gravells,2.2,2021-1,Stanford Pomphrey,spomphreyj1@edu.com
Ingles 2,2,Fulvia Gravells,2.2,2021-1,Dillon Olennikov,dolennikovj2@edu.com
Ingles 2,2,Fulvia Gravells,2.2,2021-1,Elfie Antoniou,eantoniouj3@edu.com
Calculo 1,1,Alexandre Alvy,4.3,2021-3,Earle Pisco,episcoj4@edu.com
Calculo 1,1,Alexandre Alvy,4.3,2021-3,Forester Grayling,fgraylingj5@edu.com
Calculo 1,1,Alexandre Alvy,4.3,2021-3,Sibylla Quartley,squartleyj6@edu.com
Calculo 1,1,Alexandre Alvy,4.3,2021-3,Domingo Mence,dmencej7@edu.com
Administracion para Ingenieros,1,Vyky Pretty,3.9,2023-1,Tara Caress,tcaressj8@edu.com
Administracion para Ingenieros,1,Vyky Pretty,3.9,2023-1,Atalanta Tramel,atramelj9@edu.com
Administracion para Ingenieros,1,Vyky Pretty,3.9,2023-1,Angele McEnery,amceneryja@edu.com
Administracion para Ingenieros,1,Vyky Pretty,3.9,2023-1,Riva Vedekhov,rvedekhovjb@edu.com
Transformacion y Carga),3,Elaina Baumler,4.1,2023-3,Ruprecht Scheffel,rscheffeljc@edu.com
Transformacion y Carga),3,Elaina Baumler,4.1,2023-3,Roxanne Pierro,rpierrojd@edu.com
Transformacion y Carga),3,Elaina Baumler,4.1,2023-3,Joana Das,jdasje@edu.com
Transformacion y Carga),3,Elaina Baumler,4.1,2023-3,Sinclare Lenchenko,slenchenkojf@edu.com
Inteligencia Artificial,3,Pen Withrop,1.2,2023-1,Tracie Wastell,twastelljg@edu.com
Inteligencia Artificial,3,Pen Withrop,1.2,2023-1,Luce Hambribe,lhambribejh@edu.com
Inteligencia Artificial,3,Pen Withrop,1.2,2023-1,Dallas Grattage,dgrattageji@edu.com
Inteligencia Artificial,3,Pen Withrop,1.2,2023-1,Lucias Castello,lcastellojj@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,1,Fayette Laville,2.1,2021-1,Lois Lippi,llippijk@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,1,Fayette Laville,2.1,2021-1,Lucas Von Welldun,lvonjl@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,1,Fayette Laville,2.1,2021-1,Lorrie Servis,lservisjm@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,1,Fayette Laville,2.1,2021-1,Betteanne Tumayan,btumayanjn@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,Chet Keam,3.1,2021-3,Lu Andrioli,landriolijo@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,Chet Keam,3.1,2021-3,Ase Crissil,acrissiljp@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,Chet Keam,3.1,2021-3,Caprice Standeven,cstandevenjq@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,Chet Keam,3.1,2021-3,Sancho Coleby,scolebyjr@edu.com
Matematicas Fundamentales,3,Sigmund Lowndsbrough,2.5,2021-1,Vin Riccardi,vriccardijs@edu.com
Matematicas Fundamentales,3,Sigmund Lowndsbrough,2.5,2021-1,Margalit Beeckx,mbeeckxjt@edu.com
Matematicas Fundamentales,3,Sigmund Lowndsbrough,2.5,2021-1,Marta Tieraney,mtieraneyju@edu.com
Matematicas Fundamentales,3,Sigmund Lowndsbrough,2.5,2021-1,Celka Leipelt,cleipeltjv@edu.com
Ingles 5,1,Reynold Wolstencroft,3.3,2022-1,Roda Alessandrucci,ralessandruccijw@edu.com
Ingles 5,1,Reynold Wolstencroft,3.3,2022-1,Alecia Maybury,amayburyjx@edu.com
Ingles 5,1,Reynold Wolstencroft,3.3,2022-1,Blondy Leachman,bleachmanjy@edu.com
Ingles 5,1,Reynold Wolstencroft,3.3,2022-1,Humphrey Boness,hbonessjz@edu.com
Ingles 5,3,Christa Buck,3.0,2021-1,Benetta Cordall,bcordallk0@edu.com
Ingles 5,3,Christa Buck,3.0,2021-1,Priscella Laden,pladenk1@edu.com
Ingles 5,3,Christa Buck,3.0,2021-1,Maximo Majury,mmajuryk2@edu.com
Ingles 5,3,Christa Buck,3.0,2021-1,Ettore Jannings,ejanningsk3@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,2,Jerrome Chafer,4.2,2022-1,Raleigh Gallichiccio,rgallichicciok4@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,2,Jerrome Chafer,4.2,2022-1,Chadwick Brightie,cbrightiek5@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,2,Jerrome Chafer,4.2,2022-1,Averil Wolfenden,awolfendenk6@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,2,Jerrome Chafer,4.2,2022-1,Gweneth Slewcock,gslewcockk7@edu.com
Electiva de Lectura y Escritura,3,Nickie Gianasi,2.7,2022-3,Lynette Bonsul,lbonsulk8@edu.com
Electiva de Lectura y Escritura,3,Nickie Gianasi,2.7,2022-3,Darrell Back,dbackk9@edu.com
Electiva de Lectura y Escritura,3,Nickie Gianasi,2.7,2022-3,Bailey Gallico,bgallicoka@edu.com
Electiva de Lectura y Escritura,3,Nickie Gianasi,2.7,2022-3,Nertie Chopping,nchoppingkb@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,3,Marisa Ellesmere,4.9,2023-3,Aime Powrie,apowriekc@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,3,Marisa Ellesmere,4.9,2023-3,Karin Kinchley,kkinchleykd@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,3,Marisa Ellesmere,4.9,2023-3,Sofie Beevor,sbeevorke@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,3,Marisa Ellesmere,4.9,2023-3,Gregoire Bengoechea,gbengoecheakf@edu.com
Seguridad de la Informacion,3,Fayette Laville,0.3,2021-3,Dirk Baitman,dbaitmankg@edu.com
Seguridad de la Informacion,3,Fayette Laville,0.3,2021-3,Vanni Michin,vmichinkh@edu.com
Seguridad de la Informacion,3,Fayette Laville,0.3,2021-3,Daune Kynder,dkynderki@edu.com
Seguridad de la Informacion,3,Fayette Laville,0.3,2021-3,Lorna Lockie,llockiekj@edu.com
Redes e Infraestructura,2,Lulu Harvie,2.7,2023-1,Lorne Butfield,lbutfieldkk@edu.com
Redes e Infraestructura,2,Lulu Harvie,2.7,2023-1,Christie Titford,ctitfordkl@edu.com
Redes e Infraestructura,2,Lulu Harvie,2.7,2023-1,Niles Russe,nrussekm@edu.com
Redes e Infraestructura,2,Lulu Harvie,2.7,2023-1,Blythe Savory,bsavorykn@edu.com
Seminario de Ing. de Datos e IA,2,Glenn Pawlicki,3.5,2022-1,Muriel Boake,mboakeko@edu.com
Seminario de Ing. de Datos e IA,2,Glenn Pawlicki,3.5,2022-1,Enrique Chaperlin,echaperlinkp@edu.com
Seminario de Ing. de Datos e IA,2,Glenn Pawlicki,3.5,2022-1,Flore Spenton,fspentonkq@edu.com
Seminario de Ing. de Datos e IA,2,Glenn Pawlicki,3.5,2022-1,Elle Gasnoll,egasnollkr@edu.com
Ingles 2,1,Rudd Giff,2.5,2021-1,Cordelia Tozer,ctozerks@edu.com
Ingles 2,1,Rudd Giff,2.5,2021-1,Boote Shearme,bshearmekt@edu.com
Ingles 2,1,Rudd Giff,2.5,2021-1,Jeffrey Dorrins,jdorrinsku@edu.com
Ingles 2,1,Rudd Giff,2.5,2021-1,Katerina Millwater,kmillwaterkv@edu.com
Comunicación Oral y Escrita,1,Babara Allsupp,1.6,2022-3,Stephani Bachellier,sbachellierkw@edu.com
Comunicación Oral y Escrita,1,Babara Allsupp,1.6,2022-3,Clarke Childes,cchildeskx@edu.com
Comunicación Oral y Escrita,1,Babara Allsupp,1.6,2022-3,Eadith Pepperrall,epepperrallky@edu.com
Comunicación Oral y Escrita,1,Babara Allsupp,1.6,2022-3,Fania Bene,fbenekz@edu.com
Electiva Profesional 5,2,Annabal Riseam,2.6,2022-3,Jaymie Tolerton,jtolertonl0@edu.com
Electiva Profesional 5,2,Annabal Riseam,2.6,2022-3,Pammie Jarrold,pjarroldl1@edu.com
Electiva Profesional 5,2,Annabal Riseam,2.6,2022-3,Sydney Nehls,snehlsl2@edu.com
Electiva Profesional 5,2,Annabal Riseam,2.6,2022-3,Kellyann Bottinelli,kbottinellil3@edu.com
Administracion para Ingenieros,1,Vyky Pretty,0.6,2021-1,Joycelin Garvagh,jgarvaghl4@edu.com
Administracion para Ingenieros,1,Vyky Pretty,0.6,2021-1,Aridatha Probetts,aprobettsl5@edu.com
Administracion para Ingenieros,1,Vyky Pretty,0.6,2021-1,Lowe Gairdner,lgairdnerl6@edu.com
Administracion para Ingenieros,1,Vyky Pretty,0.6,2021-1,Demetris Cromblehome,dcromblehomel7@edu.com
Electiva de Lectura y Escritura,3,Nickie Gianasi,2.4,2022-3,Lenette Dummer,ldummerl8@edu.com
Electiva de Lectura y Escritura,3,Nickie Gianasi,2.4,2022-3,Edin Pettwood,epettwoodl9@edu.com
Electiva de Lectura y Escritura,3,Nickie Gianasi,2.4,2022-3,Lennie Shewon,lshewonla@edu.com
Electiva de Lectura y Escritura,3,Nickie Gianasi,2.4,2022-3,Aileen Clist,aclistlb@edu.com
Ingles 3,1,Marisa Ellesmere,3.9,2021-1,Theressa Smaridge,tsmaridgelc@edu.com
Ingles 3,1,Marisa Ellesmere,3.9,2021-1,Karin Fulep,kfulepld@edu.com
Ingles 3,1,Marisa Ellesmere,3.9,2021-1,Julietta Kanzler,jkanzlerle@edu.com
Ingles 3,1,Marisa Ellesmere,3.9,2021-1,Heloise Lindenbluth,hlindenbluthlf@edu.com
Electiva de  Ciencias Sociales,3,Neron de Wilde,3.3,2021-1,Aland Corrado,acorradolg@edu.com
Electiva de  Ciencias Sociales,3,Neron de Wilde,3.3,2021-1,Kerry Kobpal,kkobpallh@edu.com
Electiva de  Ciencias Sociales,3,Neron de Wilde,3.3,2021-1,Marie-ann Stapels,mstapelsli@edu.com
Electiva de  Ciencias Sociales,3,Neron de Wilde,3.3,2021-1,Judie Bendelow,jbendelowlj@edu.com
Inteligencia Artificial,3,Pen Withrop,3.7,2022-1,Lawrence Stearns,lstearnslk@edu.com
Inteligencia Artificial,3,Pen Withrop,3.7,2022-1,Phil Abelson,pabelsonll@edu.com
Inteligencia Artificial,3,Pen Withrop,3.7,2022-1,Domingo Harbach,dharbachlm@edu.com
Inteligencia Artificial,3,Pen Withrop,3.7,2022-1,Cornell Tuma,ctumaln@edu.com
Electiva Profesional 1,1,Juliane Bafford,2.1,2021-3,Tonya Roles,troleslo@edu.com
Electiva Profesional 1,1,Juliane Bafford,2.1,2021-3,Geralda Brundill,gbrundilllp@edu.com
Electiva Profesional 1,1,Juliane Bafford,2.1,2021-3,Darren Drinkale,ddrinkalelq@edu.com
Electiva Profesional 1,1,Juliane Bafford,2.1,2021-3,Ruth Salzberg,rsalzberglr@edu.com
Electiva Libre I,1,Sibeal Thunnercliffe,1.0,2021-1,Ryon Damper,rdamperls@edu.com
Electiva Libre I,1,Sibeal Thunnercliffe,1.0,2021-1,Lydie Studdard,lstuddardlt@edu.com
Electiva Libre I,1,Sibeal Thunnercliffe,1.0,2021-1,Puff Asher,pasherlu@edu.com
Electiva Libre I,1,Sibeal Thunnercliffe,1.0,2021-1,Griswold McLae,gmclaelv@edu.com
Ingles 2,1,Rudd Giff,0.8,2022-1,Nadia Boyland,nboylandlw@edu.com
Ingles 2,1,Rudd Giff,0.8,2022-1,Horacio Kief,hkieflx@edu.com
Ingles 2,1,Rudd Giff,0.8,2022-1,Dona Duguid,dduguidly@edu.com
Ingles 2,1,Rudd Giff,0.8,2022-1,Linea Gamlyn,lgamlynlz@edu.com
Ingenieria y Sostenibilidad,3,Florina Sandlin,1.5,2023-1,Kesley Jeal,kjealm0@edu.com
Ingenieria y Sostenibilidad,3,Florina Sandlin,1.5,2023-1,Merna Miche,mmichem1@edu.com
Ingenieria y Sostenibilidad,3,Florina Sandlin,1.5,2023-1,Dari Fothergill,dfothergillm2@edu.com
Ingenieria y Sostenibilidad,3,Florina Sandlin,1.5,2023-1,Neille Nestoruk,nnestorukm3@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,3,Martin Coldman,4.3,2021-1,Alys Brownscombe,abrownscombem4@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,3,Martin Coldman,4.3,2021-1,Ricki Watkinson,rwatkinsonm5@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,3,Martin Coldman,4.3,2021-1,Ethelind Jayne,ejaynem6@edu.com
Formacion Ciudadana I : Identidades y Pluralismo,3,Martin Coldman,4.3,2021-1,Darline Westgate,dwestgatem7@edu.com
Analitica de Datos,2,Huntington Fincham,4.2,2021-3,Erie Gebhardt,egebhardtm8@edu.com
Analitica de Datos,2,Huntington Fincham,4.2,2021-3,Giacinta Everly,geverlym9@edu.com
Analitica de Datos,2,Huntington Fincham,4.2,2021-3,Rana Wrightson,rwrightsonma@edu.com
Analitica de Datos,2,Huntington Fincham,4.2,2021-3,Roxanne Simkiss,rsimkissmb@edu.com
Algebra lineal,1,Hynda Van Velde,2.7,2021-1,Jonathan Massot,jmassotmc@edu.com
Algebra lineal,1,Hynda Van Velde,2.7,2021-1,Jordain Wilkerson,jwilkersonmd@edu.com
Algebra lineal,1,Hynda Van Velde,2.7,2021-1,Eleonora Lamberts,elambertsme@edu.com
Algebra lineal,1,Hynda Van Velde,2.7,2021-1,Raynell Orange,rorangemf@edu.com
Logica y Matematica Discreta,1,Alethea Adcocks,1.7,2023-3,Ode Paulack,opaulackmg@edu.com
Logica y Matematica Discreta,1,Alethea Adcocks,1.7,2023-3,Phaedra Brecon,pbreconmh@edu.com
Logica y Matematica Discreta,1,Alethea Adcocks,1.7,2023-3,Davita Dybell,ddybellmi@edu.com
Logica y Matematica Discreta,1,Alethea Adcocks,1.7,2023-3,Kathrine Castiblanco,kcastiblancomj@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,Chet Keam,2.8,2022-3,Linus Dienes,ldienesmk@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,Chet Keam,2.8,2022-3,Nonah Beartup,nbeartupml@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,Chet Keam,2.8,2022-3,Michele Charity,mcharitymm@edu.com
Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,Chet Keam,2.8,2022-3,Zacharia Buckeridge,zbuckeridgemn@edu.com
Formacion Ciudadana III: Paz y Convivencia,2,Dell Catmull,3.2,2021-3,Reginauld Ghilardini,rghilardinimo@edu.com
Formacion Ciudadana III: Paz y Convivencia,2,Dell Catmull,3.2,2021-3,Gino Aird,gairdmp@edu.com
Formacion Ciudadana III: Paz y Convivencia,2,Dell Catmull,3.2,2021-3,Zacherie Rozsa,zrozsamq@edu.com
Formacion Ciudadana III: Paz y Convivencia,2,Dell Catmull,3.2,2021-3,Leopold Durno,ldurnomr@edu.com
Matematicas Fundamentales,2,Obediah Worland,2.9,2022-3,Kinna Tuttle,ktuttlems@edu.com
Matematicas Fundamentales,2,Obediah Worland,2.9,2022-3,Dixie Donneely,ddonneelymt@edu.com
Matematicas Fundamentales,2,Obediah Worland,2.9,2022-3,Nalani Imlaw,nimlawmu@edu.com
